"","region","actor_name","Total_Fatalities","actor_id","top5"
"1","Asia","Kashmir insurgents",3074,325,1
"2","Asia","LTTE",2426,320,2
"3","Asia","TTP",2164,356,3
"4","Asia","Patani insurgents",1864,365,4
"5","Asia","CPI-Maoist",1658,195,5
"6","Middle East","IS",12844,234,1
"7","Middle East","PKK",1201,323,2
"8","Middle East","Syrian insurgents",732,4456,3
"9","Middle East","Hamas",412,209,4
"10","Middle East","al-Gama'a al-Islamiyya",181,341,5
"11","Europe","Serbian irregulars, Serbian Republic of Bosnia-Herzegovina",12454,3864,1
"12","Europe","Chechen Republic of Ichkeria",199,352,2
"13","Europe","GICM",191,383,3
"14","Europe","Croatian Republic of Bosnia-Herzegovina",169,350,4
"15","Europe","Republic of Artsakh",161,338,5
"16","Africa","AFDL",35126,422,1
"17","Africa","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",7884,1051,2
"18","Africa","LRA",7827,488,3
"19","Africa","NPFL",6042,507,4
"20","Africa","RUF",5963,532,5
"21","Americas","AUC",3195,771,1
"22","Americas","al-Qaida ",2753,769,2
"23","Americas","FARC",1177,743,3
"24","Americas","Sendero Luminoso",605,750,4
"25","Americas","Los Zetas",354,1088,5
